|---|--------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| # | TODO                                                               | THOUGHTS                                                                                                                                                                                                                                   |
|---|--------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| - | CODE                                                               |                                                                                                                                                                                                                                            |
|---|--------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| X | Get a website up and running                                       |                                                                                                                                                                                                                                            |
| X | Add functionality to save different sides of the die               |                                                                                                                                                                                                                                            |
| X | Save the accelerometer parameters and load it when starting        |                                                                                                                                                                                                                                            |
| X | Connect to WAN                                                     |                                                                                                                                                                                                                                            |
|   | Learn clockify API                                                 |                                                                                                                                                                                                                                            |
|   | Make die send API calls                                            |                                                                                                                                                                                                                                            |
| X | Some sort of backpack mode                                         | Either it has to be in the same side for 5 seconds before switching, which would prevent it activating while turning it to a new side. But it will probably be still in the backpack. Maybe an on/off switch?                              |
| X | LED on the side to indicate things, maybe on/off or something else | Could be usefull to confirm changes from the websides with some blinks. (This is not needed since the website shows this information.) Now it might be revelant to use the led on the microcontroller to show things, maybe on/off states. |
| X | Visualize sensor data to the website                               |                                                                                                                                                                                                                                            |
|   | Warn about conflicting sides, maybe with a threshold               | Maybe +-10% of the mean of distances between all sides                                                                                                                                                                                     |
|---|--------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| - | HARDWARE                                                           |                                                                                                                                                                                                                                            |
|---|--------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|   | Finish the CAD                                                     |                                                                                                                                                                                                                                            |
|   | Add the turn off button                                            |                                                                                                                                                                                                                                            |
|---|--------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|

